order_id,timestamp,agent_type,symbol,side,order_type,price,quantity
AAPL_ORD_00000017,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,LIMIT,99.44139246195782,175
AAPL_ORD_00000018,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,MARKET,99.40965645425759,166
AAPL_ORD_00000019,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.36952560375443,907
AAPL_ORD_00000020,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,LIMIT,99.4677408847331,813
AAPL_ORD_00000021,2025-08-21T22:12:00+00:00,institutional,AAPL,BUY,MARKET,99.40965645425759,222
AAPL_ORD_00000022,2025-08-21T22:12:00+00:00,institutional,AAPL,BUY,LIMIT,99.33663979718334,230
AAPL_ORD_00000023,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.3715221276801,241
AAPL_ORD_00000024,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,LIMIT,99.46429117111767,180
AAPL_ORD_00000025,2025-08-21T22:12:00+00:00,market_maker,AAPL,BUY,MARKET,99.40965645425759,80
AAPL_ORD_00000026,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,LIMIT,99.44211200588077,111
AAPL_ORD_00000027,2025-08-21T22:12:00+00:00,hft,AAPL,SELL,LIMIT,99.45254106970972,796
AAPL_ORD_00000028,2025-08-21T22:12:00+00:00,retail,AAPL,SELL,MARKET,99.40965645425759,827
AAPL_ORD_00000029,2025-08-21T22:12:00+00:00,institutional,AAPL,SELL,LIMIT,99.46834790167087,942
AAPL_ORD_00000030,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.33042627063982,169
AAPL_ORD_00000031,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.35633349225705,366
AAPL_ORD_00000032,2025-08-21T22:12:00+00:00,retail,AAPL,BUY,LIMIT,99.38116896529392,49
AAPL_ORD_00000033,2025-08-21T22:13:00+00:00,institutional,AAPL,BUY,MARKET,99.43504059885613,740
AAPL_ORD_00000034,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42285724433539,323
AAPL_ORD_00000035,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,MARKET,99.43504059885613,120
AAPL_ORD_00000036,2025-08-21T22:13:00+00:00,hft,AAPL,SELL,MARKET,99.43504059885613,221
AAPL_ORD_00000037,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42910041523193,224
AAPL_ORD_00000038,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42417283762764,135
AAPL_ORD_00000039,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42612465872972,966
AAPL_ORD_00000040,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44170033930452,837
AAPL_ORD_00000041,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44944459332618,1410
AAPL_ORD_00000042,2025-08-21T22:13:00+00:00,institutional,AAPL,SELL,LIMIT,99.4473347673126,89
AAPL_ORD_00000043,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,MARKET,99.43504059885613,587
AAPL_ORD_00000044,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42075570432235,253
AAPL_ORD_00000045,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.4439636904712,965
AAPL_ORD_00000046,2025-08-21T22:13:00+00:00,institutional,AAPL,SELL,MARKET,99.43504059885613,453
AAPL_ORD_00000047,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44133199958513,104
AAPL_ORD_00000048,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44965667525427,263
AAPL_ORD_00000049,2025-08-21T22:13:00+00:00,institutional,AAPL,SELL,LIMIT,99.44244003045961,225
AAPL_ORD_00000050,2025-08-21T22:13:00+00:00,institutional,AAPL,BUY,LIMIT,99.42081195469287,239
AAPL_ORD_00000051,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,MARKET,99.43504059885613,366
AAPL_ORD_00000052,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,MARKET,99.43504059885613,172
AAPL_ORD_00000053,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.4208643953872,651
AAPL_ORD_00000054,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,MARKET,99.43504059885613,426
AAPL_ORD_00000055,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.4244662895646,713
AAPL_ORD_00000056,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.42635741612077,870
AAPL_ORD_00000057,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.4250926668631,675
AAPL_ORD_00000058,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44026732287153,427
AAPL_ORD_00000059,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,LIMIT,99.44393372408454,217
AAPL_ORD_00000060,2025-08-21T22:13:00+00:00,retail,AAPL,SELL,MARKET,99.43504059885613,66
AAPL_ORD_00000061,2025-08-21T22:13:00+00:00,retail,AAPL,BUY,LIMIT,99.4281342553497,226
AAPL_ORD_00000062,2025-08-21T22:13:00+00:00,institutional,AAPL,BUY,LIMIT,99.42701330781239,79
AAPL_ORD_00000063,2025-08-21T22:13:00+00:00,institutional,AAPL,SELL,LIMIT,99.44972442226211,137
AAPL_ORD_00000064,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41450904256534,851
AAPL_ORD_00000065,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.4983602614638,169
AAPL_ORD_00000066,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.50174351814749,1480
AAPL_ORD_00000067,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,MARKET,99.4572518750726,67
AAPL_ORD_00000068,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41224449111041,352
AAPL_ORD_00000069,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41578871451075,229
AAPL_ORD_00000070,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41533460721543,586
AAPL_ORD_00000071,2025-08-21T22:14:00+00:00,institutional,AAPL,BUY,LIMIT,99.41331825212788,172
AAPL_ORD_00000072,2025-08-21T22:14:00+00:00,institutional,AAPL,BUY,MARKET,99.4572518750726,140
AAPL_ORD_00000073,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,MARKET,99.4572518750726,467
AAPL_ORD_00000074,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41644141571815,89
AAPL_ORD_00000075,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.40999093254806,405
AAPL_ORD_00000076,2025-08-21T22:14:00+00:00,institutional,AAPL,SELL,LIMIT,99.51708792612183,70
AAPL_ORD_00000077,2025-08-21T22:14:00+00:00,market_maker,AAPL,SELL,LIMIT,99.48083034222519,490
AAPL_ORD_00000078,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.41576990905594,58
AAPL_ORD_00000079,2025-08-21T22:14:00+00:00,market_maker,AAPL,SELL,LIMIT,99.48207427167702,37
AAPL_ORD_00000080,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.50224830066075,450
AAPL_ORD_00000081,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,LIMIT,99.4347009526325,90
AAPL_ORD_00000082,2025-08-21T22:14:00+00:00,hft,AAPL,BUY,LIMIT,99.4337184468619,249
AAPL_ORD_00000083,2025-08-21T22:14:00+00:00,hft,AAPL,BUY,MARKET,99.4572518750726,285
AAPL_ORD_00000084,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,MARKET,99.4572518750726,160
AAPL_ORD_00000085,2025-08-21T22:14:00+00:00,institutional,AAPL,SELL,MARKET,99.4572518750726,183
AAPL_ORD_00000086,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.51021347729728,158
AAPL_ORD_00000087,2025-08-21T22:14:00+00:00,institutional,AAPL,SELL,LIMIT,99.51543230273678,161
AAPL_ORD_00000088,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.47830915321083,515
AAPL_ORD_00000089,2025-08-21T22:14:00+00:00,hft,AAPL,SELL,MARKET,99.4572518750726,296
AAPL_ORD_00000090,2025-08-21T22:14:00+00:00,institutional,AAPL,SELL,LIMIT,99.5020882027687,405
AAPL_ORD_00000091,2025-08-21T22:14:00+00:00,institutional,AAPL,BUY,LIMIT,99.41782136922215,156
AAPL_ORD_00000092,2025-08-21T22:14:00+00:00,retail,AAPL,BUY,MARKET,99.4572518750726,151
AAPL_ORD_00000093,2025-08-21T22:14:00+00:00,retail,AAPL,SELL,LIMIT,99.48659225454738,88
AAPL_ORD_00000094,2025-08-21T22:15:00+00:00,retail,AAPL,SELL,LIMIT,99.64353296429427,403
AAPL_ORD_00000095,2025-08-21T22:15:00+00:00,market_maker,AAPL,BUY,LIMIT,99.46997280605979,85
AAPL_ORD_00000096,2025-08-21T22:15:00+00:00,retail,AAPL,SELL,LIMIT,99.57731962017225,230
AAPL_ORD_00000097,2025-08-21T22:15:00+00:00,institutional,AAPL,SELL,LIMIT,99.63954061189716,71
AAPL_ORD_00000098,2025-08-21T22:15:00+00:00,retail,AAPL,BUY,MARKET,99.53768740464902,559
AAPL_ORD_00000099,2025-08-21T22:15:00+00:00,institutional,AAPL,SELL,LIMIT,99.62560251174135,179
AAPL_ORD_00000100,2025-08-21T22:15:00+00:00,hft,AAPL,BUY,LIMIT,99.43959647593202,381
